Entered file!
Imports done!
*** RUN *** 
chain_1cB
** Loading results csv
*** Analysing case 0
{'chain_gold_precision_source': 0.5, 'chain_recall_target': 0.5, 'chain_pegasus_precision_source': 0.5555555555555556, 'chain_precision_target': 0.4444444444444444, 'chain_f1_target': 0.47058823529411764}
*** Analysing case 82
{'chain_gold_precision_source': 1.0, 'chain_recall_target': 0.6666666666666666, 'chain_pegasus_precision_source': 1.0, 'chain_precision_target': 0.14285714285714285, 'chain_f1_target': 0.23529411764705882}
*** Analysing case 83
{'chain_gold_precision_source': 0.3333333333333333, 'chain_recall_target': 0.3333333333333333, 'chain_pegasus_precision_source': 0.7, 'chain_precision_target': 0.3, 'chain_f1_target': 0.3157894736842105}
*** Analysing case 84
{'chain_gold_precision_source': 0.75, 'chain_recall_target': 0.375, 'chain_pegasus_precision_source': 0.6470588235294118, 'chain_precision_target': 0.17647058823529413, 'chain_f1_target': 0.24}
*** Analysing case 85
{'chain_gold_precision_source': 0.5, 'chain_recall_target': 0.125, 'chain_pegasus_precision_source': 0.8235294117647058, 'chain_precision_target': 0.058823529411764705, 'chain_f1_target': 0.07999999999999999}
*** Analysing case 86
{'chain_gold_precision_source': 0.6666666666666666, 'chain_recall_target': 0.3333333333333333, 'chain_pegasus_precision_source': 0.7142857142857143, 'chain_precision_target': 0.14285714285714285, 'chain_f1_target': 0.2}
*** Analysing case 87
{'chain_gold_precision_source': 0.5, 'chain_recall_target': 0.625, 'chain_pegasus_precision_source': 0.8125, 'chain_precision_target': 0.3125, 'chain_f1_target': 0.4166666666666667}
*** Analysing case 88
{'chain_gold_precision_source': 0.3076923076923077, 'chain_recall_target': 0.23076923076923078, 'chain_pegasus_precision_source': 0.6666666666666666, 'chain_precision_target': 0.2222222222222222, 'chain_f1_target': 0.22641509433962265}
*** Analysing case 89
{'chain_gold_precision_source': 0.0, 'chain_recall_target': 0.0, 'chain_pegasus_precision_source': 0.8, 'chain_precision_target': 0.0, 'chain_f1_target': 0}
*** Analysing case 90
{'chain_gold_precision_source': 0.5, 'chain_recall_target': 0.3333333333333333, 'chain_pegasus_precision_source': 0.6153846153846154, 'chain_precision_target': 0.23076923076923078, 'chain_f1_target': 0.27272727272727276}
*** Analysing case 91
{'chain_gold_precision_source': 0.7777777777777778, 'chain_recall_target': 0.4444444444444444, 'chain_pegasus_precision_source': 1.0, 'chain_precision_target': 0.4, 'chain_f1_target': 0.4210526315789474}
*** Analysing case 92
